Sentence,Sentiment
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive
The Diameter Protocol is developed according to the standards IETF RFC 3588 and IETF RFC 3539 .,neutral
"Glaston 's share GLA1V is listed on the NASDAQ OMX Helsinki , Mid Cap List .",neutral
"Operating result , excluding one-off items , totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .",neutral
The company is presently examining whether the project would be financially feasible .,neutral
Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 .,neutral
He confirmed his view on July 6 .,neutral
"The Tekla Structures product box , if needed , is now made from recycled material .",neutral
The figure does not include food exports from Finland .,neutral
SHARE REPURCHASE 11.01.2008 In the Helsinki Stock Exchange On behalf of Sampo plc Danske Bank A-S Helsinki Branch,neutral
The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .,neutral
"Net sales in 2010 were about EUR 2.0 billion , of which international operations accounted for roughly a quarter .",neutral
They are also upset that some of the machinery and work is taken over to Poland .,neutral
"Finnish electronics contract maker Incap Oyj said on January 3 , 2008 it sold its manufacturing facilities in Helsinki to local real estate company Sponda Oyj for 5.3 mln euro ( $ 7.8 mln ) .",neutral
"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",neutral
"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",positive
"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November .",negative
"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",neutral
"The Inventors are Ridge Justin , Bao Yiliang and Karczewicz Marta .",neutral
"FTSE 100 falls as China devaluation hits Burberry, mining stocks",negative
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral
"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route .",negative
$isrg trading at all-time high after strong earnings report with 4 days of short interest.,positive
"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .",positive
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,neutral
The previous offer was 3.4 % of voting rights and 12.3 % of capital .,neutral
The report will be emailed within 2 business days of an order .,neutral
"Operating profit excluding non-recurring items amounted to EUR 40.6 mn , down from EUR 57.3 mn year-on-year .",neutral
"HELSINKI AFX - Cargotec said it has bought a 95 pct stake in Indital Construction Machinery Ltd , a Bangalore-based company that makes fork lift trucks and mobile cranes , for an undisclosed sum .",neutral
Glencore blames rivals for creating metals glut,negative
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",negative
"Several large stocks tacked lower , however .",neutral
"Rapala VMC Corporation STOCK EXCHANGE RELEASE October 10 , 2008 at 11.45 am Kaupthing Bank Oyj ( `` Kapthing '' ) has informed Rapala VMC Corporation ( `` Rapala '' ) that it has interrupted the liquidity providing for Rapala 's share for the time being .",negative
"The production capacity can be tripled without any major additional investments , the company said .",positive
"The company 's set of services include digital printing , printing preparation , offset-printing , after-treatment services and send out services .",neutral
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,positive
$GPRO down 25% since Tue morning.,negative
"`` While concerns remain longer term , size and scale may enable Nokia to hold on to its newfound margin improvements in the near term , '' the analyst wrote .",positive
